,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,dev,test,range_from,range_to
605,20,szegedai-semantics,playful-voice-181,9rw6qtf4,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.816,0.79,3,4
606,21,szegedai-semantics,playful-voice-181,9rw6qtf4,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.748,0.74,1,2
607,22,szegedai-semantics,playful-voice-181,9rw6qtf4,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.597,0.614,0,1
608,0,szegedai-semantics,comic-paper-180,aj1qd6s2,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.795,0.781,1,2
609,1,szegedai-semantics,comic-paper-180,aj1qd6s2,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.791,0.779,3,4
610,2,szegedai-semantics,comic-paper-180,aj1qd6s2,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.775,0.763,3,4
611,3,szegedai-semantics,comic-paper-180,aj1qd6s2,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.777,0.756,0,1
612,4,szegedai-semantics,comic-paper-180,aj1qd6s2,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.761,0.747,0,1
613,0,szegedai-semantics,pleasant-capybara-179,546nwqnu,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.806,0.806,5,6
614,1,szegedai-semantics,pleasant-capybara-179,546nwqnu,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.852,0.828,1,2
615,2,szegedai-semantics,pleasant-capybara-179,546nwqnu,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.811,0.8,3,4
616,3,szegedai-semantics,pleasant-capybara-179,546nwqnu,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.87,0.849,2,3
617,4,szegedai-semantics,pleasant-capybara-179,546nwqnu,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.542,0.522,1,2
618,0,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.887,0.872,11,12
619,1,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.888,0.872,10,11
620,2,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.887,0.871,4,5
621,3,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.886,0.871,7,8
622,4,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.888,0.87,3,4
623,5,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.887,0.87,5,6
624,6,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.882,0.864,5,6
625,7,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.88,0.865,1,2
626,8,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.861,0.847,3,4
627,9,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.84,0.826,2,3
628,10,szegedai-semantics,rich-forest-178,gbeogx1u,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.769,0.758,1,2
629,0,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.97,0.941,10,11
630,1,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.97,0.94,7,8
631,2,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.97,0.937,4,5
632,3,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.968,0.937,7,8
633,4,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.966,0.935,7,8
634,5,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.965,0.931,5,6
635,6,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.962,0.931,5,6
636,7,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.959,0.923,4,5
637,8,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.947,0.915,3,4
638,9,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.888,0.861,1,2
639,10,szegedai-semantics,robust-smoke-177,w4uzvcww,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.883,0.865,1,2
640,0,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.768,0.747,2,3
641,1,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.782,0.762,3,4
642,2,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.799,0.783,0,1
643,3,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.806,0.792,1,2
644,4,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.821,0.806,5,6
645,5,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.821,0.803,1,2
646,6,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.824,0.807,3,4
647,7,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.824,0.807,4,5
648,8,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.814,0.8,2,3
649,9,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.812,0.794,2,3
650,10,szegedai-semantics,treasured-durian-175,4q98wlg1,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.771,0.769,1,2
651,0,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.842,0.828,2,3
652,1,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.878,0.865,2,3
653,2,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.905,0.885,9,10
654,3,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.904,0.884,8,9
655,4,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.89,0.871,6,7
656,5,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.883,0.859,2,3
657,6,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.896,0.869,5,6
658,7,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.905,0.874,4,5
659,8,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.895,0.866,3,4
660,9,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.868,0.843,2,3
661,10,szegedai-semantics,woven-serenity-174,gc0v3hzq,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.548,0.539,1,2
662,0,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.931,0.881,7,8
663,1,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.925,0.887,17,18
664,2,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.925,0.871,17,18
665,3,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.924,0.896,6,7
666,4,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.918,0.886,10,11
667,5,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.918,0.875,2,3
668,6,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.922,0.87,16,17
669,7,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.915,0.889,13,14
670,8,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.927,0.895,14,15
671,9,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.913,0.897,3,4
672,10,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.908,0.901,11,12
673,11,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.9,0.872,0,1
674,12,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.904,0.865,5,6
675,13,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.886,0.855,10,11
676,14,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.866,0.877,9,10
677,15,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.867,0.857,8,9
678,16,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.874,0.839,6,7
679,17,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.819,0.809,2,3
680,18,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.808,0.784,2,3
681,19,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.808,0.801,2,3
682,20,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.79,0.812,2,3
683,21,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.814,0.809,0,1
684,22,szegedai-semantics,zesty-glade-173,onao2w8f,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.806,0.809,1,2
685,0,szegedai-semantics,snowy-dust-171,a96yq29k,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.901,0.881,5,6
686,1,szegedai-semantics,snowy-dust-171,a96yq29k,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.879,0.856,3,4
687,2,szegedai-semantics,snowy-dust-171,a96yq29k,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.871,0.819,3,4
688,3,szegedai-semantics,snowy-dust-171,a96yq29k,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.832,0.828,0,1
689,4,szegedai-semantics,snowy-dust-171,a96yq29k,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.815,0.804,0,1
690,0,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.886,0.871,11,12
691,1,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.888,0.872,6,7
692,2,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.887,0.871,9,10
693,3,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.887,0.871,3,4
694,4,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.887,0.871,7,8
695,5,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.887,0.871,3,4
696,6,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.887,0.87,3,4
697,7,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.884,0.868,4,5
698,8,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.882,0.867,2,3
699,9,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.866,0.849,2,3
700,10,szegedai-semantics,dandy-sun-169,pptvzktt,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.791,0.777,1,2
701,0,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.971,0.941,9,10
702,1,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.97,0.939,8,9
703,2,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.97,0.939,6,7
704,3,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.968,0.936,6,7
705,4,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.967,0.937,6,7
706,5,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.964,0.936,6,7
707,6,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.963,0.934,4,5
708,7,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.956,0.925,4,5
709,8,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.949,0.917,3,4
710,9,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.929,0.899,2,3
711,10,szegedai-semantics,earthy-sky-168,eexqj0b7,roberta-base,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.884,0.867,1,2
712,0,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.802,0.781,2,3
713,1,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.814,0.791,5,6
714,2,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.814,0.791,8,9
715,3,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.802,0.783,7,8
716,4,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.796,0.775,5,6
717,5,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.773,0.755,6,7
718,6,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.781,0.768,5,6
719,7,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.79,0.772,2,3
720,8,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.799,0.78,3,4
721,9,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.829,0.807,2,3
722,10,szegedai-semantics,upbeat-dawn-167,8tpjf2r3,bert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.812,0.789,1,2
723,0,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.931,0.895,5,6
724,1,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.928,0.897,2,3
725,2,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.928,0.904,20,21
726,3,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.932,0.887,6,7
727,4,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.934,0.903,5,6
728,5,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.92,0.887,8,9
729,6,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.915,0.888,13,14
730,7,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.931,0.89,15,16
731,8,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.923,0.896,11,12
732,9,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.919,0.887,0,1
733,10,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.928,0.893,12,13
734,11,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.913,0.893,11,12
735,12,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.897,0.869,10,11
736,13,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.898,0.86,5,6
737,14,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.884,0.86,9,10
738,15,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.869,0.849,7,8
739,16,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.856,0.831,1,2
740,17,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.84,0.844,6,7
741,18,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.835,0.838,0,1
742,19,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.831,0.781,0,1
743,20,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.816,0.797,1,2
744,21,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.818,0.786,2,3
745,22,szegedai-semantics,youthful-yogurt-166,yuri4syo,bert-large-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.81,0.801,0,1
746,0,szegedai-semantics,expert-armadillo-164,qimutjoq,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.893,0.898,5,6
747,1,szegedai-semantics,expert-armadillo-164,qimutjoq,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.879,0.884,4,5
748,2,szegedai-semantics,expert-armadillo-164,qimutjoq,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.866,0.82,3,4
749,3,szegedai-semantics,expert-armadillo-164,qimutjoq,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.826,0.792,1,2
750,4,szegedai-semantics,expert-armadillo-164,qimutjoq,distilbert-base-uncased,glue,mrpc,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.804,0.794,0,1
751,0,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.82,0.808,9,10
752,1,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.859,0.845,2,3
753,2,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.863,0.854,9,10
754,3,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.901,0.883,2,3
755,4,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.904,0.88,2,3
756,5,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.919,0.893,6,7
757,6,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.889,0.869,5,6
758,7,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.906,0.874,4,5
759,8,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.884,0.853,3,4
760,9,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.867,0.842,2,3
761,10,szegedai-semantics,dry-plasma-162,wq2qef0q,bert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.547,0.535,1,2
762,0,szegedai-semantics,light-star-161,i4mczwpb,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.888,0.872,11,12
763,1,szegedai-semantics,light-star-161,i4mczwpb,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.888,0.871,10,11
764,2,szegedai-semantics,light-star-161,i4mczwpb,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.888,0.871,5,6
765,3,szegedai-semantics,light-star-161,i4mczwpb,roberta-base,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,0,0.888,0.871,3,4
